yourlist:M20201208E5A08BB0B2D1C45B0C7BC3B55FD2655607611FW	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q5SP14_HUMAN	Q5SP14	Q5SP14_HUMAN		Deleted.			
Q5SQP8_HUMAN	Q5SQP8	Q5SQP8_HUMAN		Deleted.			
Q96G15_HUMAN	Q96G15	Q96G15_HUMAN	unreviewed	TEAD3 protein (Fragment)	TEAD3	Homo sapiens (Human)	427
DDR1_HUMAN,EDD1_HUMAN,Q5ST11_HUMAN	Q08345	DDR1_HUMAN	reviewed	Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (HGK2) (Mammary carcinoma kinase 10) (MCK-10) (Protein-tyrosine kinase 3A) (Protein-tyrosine kinase RTK-6) (TRK E) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a)	DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE	Homo sapiens (Human)	913
RGL2_HUMAN,Q5STK0_HUMAN	O15211	RGL2_HUMAN	reviewed	Ral guanine nucleotide dissociation stimulator-like 2 (RalGDS-like 2) (RalGDS-like factor) (Ras-associated protein RAB2L)	RGL2 RAB2L	Homo sapiens (Human)	777
Q5SXB7_HUMAN	Q5SXB7	Q5SXB7_HUMAN		Deleted.			
Q5SXE7_HUMAN	Q5SXE7	Q5SXE7_HUMAN		Deleted.			
Q5SXK4_HUMAN	Q5SXK4	Q5SXK4_HUMAN		Deleted.			
NOTC1_HUMAN,Q5SXM3_HUMAN	P46531	NOTC1_HUMAN	reviewed	Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]	NOTCH1 TAN1	Homo sapiens (Human)	2555
Q5SY58_HUMAN	Q5SY58	Q5SY58_HUMAN		Deleted.			
Q7Z3K9_HUMAN	Q7Z3K9	Q7Z3K9_HUMAN	unreviewed	Uncharacterized protein DKFZp781L0540 (Fragment)	DKFZp781L0540	Homo sapiens (Human)	799
Q5SZQ6_HUMAN	Q5SZQ6	Q5SZQ6_HUMAN		Deleted.			
Q9BPX4_HUMAN	Q9BPX4	Q9BPX4_HUMAN	unreviewed	Eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa	EIF2B2	Homo sapiens (Human)	351
ROA0_HUMAN	Q13151	ROA0_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein A0 (hnRNP A0)	HNRNPA0 HNRPA0	Homo sapiens (Human)	305
Q5T0I1_HUMAN	Q5T0I1	Q5T0I1_HUMAN		Deleted.			
FBP1L_HUMAN,Q5T0N6_HUMAN	Q5T0N5	FBP1L_HUMAN	reviewed	Formin-binding protein 1-like (Transducer of Cdc42-dependent actin assembly protein 1) (Toca-1)	FNBP1L C1orf39 TOCA1	Homo sapiens (Human)	605
Q5T0Q6_HUMAN	Q5T0Q6	Q5T0Q6_HUMAN	unreviewed	Dihydropyrimidinase-related protein 4	DPYSL4	Homo sapiens (Human)	412
Q5T189_HUMAN	Q5T189	Q5T189_HUMAN		Deleted.			
Q5T2E2	Q5T2E2	Q5T2E2_HUMAN		Deleted.			
LEG8_HUMAN,Q5T3Q4_HUMAN	O00214	LEG8_HUMAN	reviewed	Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein) (Po66-CBP) (Prostate carcinoma tumor antigen 1) (PCTA-1)	LGALS8	Homo sapiens (Human)	317
Q5T4L4_HUMAN	Q5T4L4	Q5T4L4_HUMAN		Deleted.			
ENOPH_HUMAN	Q9UHY7	ENOPH_HUMAN	reviewed	Enolase-phosphatase E1 (EC 3.1.3.77) (2,3-diketo-5-methylthio-1-phosphopentane phosphatase) (MASA homolog)	ENOPH1 MASA MSTP145	Homo sapiens (Human)	261
P55G_HUMAN,Q5T4P2_HUMAN	Q92569	P55G_HUMAN	reviewed	Phosphatidylinositol 3-kinase regulatory subunit gamma (PI3-kinase regulatory subunit gamma) (PI3K regulatory subunit gamma) (PtdIns-3-kinase regulatory subunit gamma) (Phosphatidylinositol 3-kinase 55 kDa regulatory subunit gamma) (PI3-kinase subunit p55-gamma) (PtdIns-3-kinase regulatory subunit p55-gamma) (p55PIK)	PIK3R3	Homo sapiens (Human)	461
Q5T4P3_HUMAN	Q5T4P3	Q5T4P3_HUMAN	unreviewed	Phosphatidylinositol 3-kinase regulatory subunit gamma (Fragment)	PIK3R3	Homo sapiens (Human)	206
Q5T4Y8_HUMAN	Q5T4Y8	Q5T4Y8_HUMAN	unreviewed	Connector enhancer of kinase suppressor of ras 3 (Fragment)	CNKSR3	Homo sapiens (Human)	178
Q5T5B4_HUMAN	Q5T5B4	Q5T5B4_HUMAN		Deleted.			
DLG7_HUMAN,Q86T11_HUMAN	Q15398	DLGP5_HUMAN	reviewed	Disks large-associated protein 5 (DAP-5) (Discs large homolog 7) (Disks large-associated protein DLG7) (Hepatoma up-regulated protein) (HURP)	DLGAP5 DLG7 KIAA0008	Homo sapiens (Human)	846
Q9NSS6_HUMAN	Q9NSS6	Q9NSS6_HUMAN	unreviewed	Uncharacterized protein DKFZp761H172	DKFZp761H172	Homo sapiens (Human)	250
RGS14_HUMAN	O43566	RGS14_HUMAN	reviewed	Regulator of G-protein signaling 14 (RGS14)	RGS14	Homo sapiens (Human)	566
UBP53_HUMAN	Q70EK8	UBP53_HUMAN	reviewed	Inactive ubiquitin carboxyl-terminal hydrolase 53 (Inactive ubiquitin-specific peptidase 53)	USP53 KIAA1350	Homo sapiens (Human)	1073
Q5T133_HUMAN,UBXD5_HUMAN	Q5T124	UBX11_HUMAN	reviewed	UBX domain-containing protein 11 (Colorectal tumor-associated antigen COA-1) (Socius) (UBX domain-containing protein 5)	UBXN11 SOC UBXD5 PP2243	Homo sapiens (Human)	520
SPS1_HUMAN,Q5T5U9_HUMAN	P49903	SPS1_HUMAN	reviewed	Selenide, water dikinase 1 (EC 2.7.9.3) (Selenium donor protein 1) (Selenophosphate synthase 1)	SEPHS1 SELD SPS SPS1	Homo sapiens (Human)	392
Q5T5Y3_HUMAN	Q5T5Y3	CAMP1_HUMAN	reviewed	Calmodulin-regulated spectrin-associated protein 1	CAMSAP1	Homo sapiens (Human)	1602
Q5T627_HUMAN	Q5T627	Q5T627_HUMAN		Deleted.			
RFX3_HUMAN	P48380	RFX3_HUMAN	reviewed	Transcription factor RFX3 (Regulatory factor X 3)	RFX3	Homo sapiens (Human)	749
Q6NTH3_HUMAN,S18L1_HUMAN	O75177	CREST_HUMAN	reviewed	Calcium-responsive transactivator (SS18-like protein 1) (SYT homolog 1)	SS18L1 CREST KIAA0693	Homo sapiens (Human)	396
Q5T6T6_HUMAN	Q5T6T6	Q5T6T6_HUMAN	unreviewed	Glycodelin (Fragment)	PAEP	Homo sapiens (Human)	132
Q5T6W5_HUMAN	Q5T6W5	Q5T6W5_HUMAN		Deleted.			
Q5T7C6_HUMAN	Q5T7C6	Q5T7C6_HUMAN		Deleted.			
IFIT1_HUMAN,Q5T7J1_HUMAN	P09914	IFIT1_HUMAN	reviewed	Interferon-induced protein with tetratricopeptide repeats 1 (IFIT-1) (Interferon-induced 56 kDa protein) (IFI-56K) (P56)	IFIT1 G10P1 IFI56 IFNAI1 ISG56	Homo sapiens (Human)	478
Q5T7Q6_HUMAN	O15244	S22A2_HUMAN	reviewed	Solute carrier family 22 member 2 (Organic cation transporter 2) (hOCT2)	SLC22A2 OCT2	Homo sapiens (Human)	555
Q5T7W5	Q5T7W5	Q5T7W5_HUMAN		Deleted.			
Q5T7Y6_HUMAN	Q5T7Y6	Q5T7Y6_HUMAN	unreviewed	Protein S100 (S100 calcium-binding protein)	S100A1 hCG_15470	Homo sapiens (Human)	147
S100P_HUMAN	P25815	S100P_HUMAN	reviewed	Protein S100-P (Migration-inducing gene 9 protein) (MIG9) (Protein S100-E) (S100 calcium-binding protein P)	S100P S100E	Homo sapiens (Human)	95
Q5T8H6_HUMAN	Q5T8H6	Q5T8H6_HUMAN	unreviewed	Ciliary neurotrophic factor receptor subunit alpha (Fragment)	CNTFR	Homo sapiens (Human)	256
Q96BE9_HUMAN	Q96BE9	Q96BE9_HUMAN	unreviewed	CDK4 protein (Cyclin-dependent kinase 4) (Cyclin-dependent kinase 4, isoform CRA_c)	CDK4 hCG_40151	Homo sapiens (Human)	111
Q5T8U3_HUMAN	Q5T8U3	Q5T8U3_HUMAN	unreviewed	60S ribosomal protein L7a (Fragment)	RPL7A RP11-244N20.10-004	Homo sapiens (Human)	191
Q5T8Z0_HUMAN	Q5T8Z0	Q5T8Z0_HUMAN		Deleted.			
Q5T8Z1_HUMAN	Q5T8Z1	Q5T8Z1_HUMAN	unreviewed	COMMD3-BMI1 readthrough (Fragment)	COMMD3-BMI1	Homo sapiens (Human)	53
Q5T8Z6_HUMAN	Q5T8Z6	Q5T8Z6_HUMAN	unreviewed	Polycomb complex protein BMI-1 (Fragment)	BMI1	Homo sapiens (Human)	105
TNR6_HUMAN,Q5T9P3_HUMAN	P25445	TNR6_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95)	FAS APT1 FAS1 TNFRSF6	Homo sapiens (Human)	335
Q5TBK5_HUMAN	Q5TBK5	Q5TBK5_HUMAN		Deleted.			
HS105_HUMAN,Q5TBM7_HUMAN	Q92598	HS105_HUMAN	reviewed	Heat shock protein 105 kDa (Antigen NY-CO-25) (Heat shock 110 kDa protein)	HSPH1 HSP105 HSP110 KIAA0201	Homo sapiens (Human)	858
Q5TBT1_HUMAN	Q5TBT1	Q5TBT1_HUMAN		Deleted.			
Q5TD07_HUMAN	Q5TD07	Q5TD07_HUMAN	unreviewed	Ribosyldihydronicotinamide dehydrogenase [quinone]	NQO2	Homo sapiens (Human)	193
Q5TE73_HUMAN	Q5TE73	Q5TE73_HUMAN		Deleted.			
Q5TEQ8_HUMAN	Q5TEQ8	Q5TEQ8_HUMAN		Deleted.			
CA089_HUMAN,Q5TEV7_HUMAN	Q9BU20	CPLN2_HUMAN	reviewed	Ciliogenesis and planar polarity effector 2 (REM2- and Rab-like small GTPase 1)	CPLANE2 C1orf89 RSG1	Homo sapiens (Human)	258
Q9BT04_HUMAN,Q9H613_HUMAN	Q9BT04	FUZZY_HUMAN	reviewed	Protein fuzzy homolog	FUZ FY	Homo sapiens (Human)	418
Q5TEW3_HUMAN	O75815	BCAR3_HUMAN	reviewed	Breast cancer anti-estrogen resistance protein 3 (Novel SH2-containing protein 2) (SH2 domain-containing protein 3B)	BCAR3 NSP2 SH2D3B UNQ271/PRO308	Homo sapiens (Human)	825
HTRA1_HUMAN	Q92743	HTRA1_HUMAN	reviewed	Serine protease HTRA1 (EC 3.4.21.-) (High-temperature requirement A serine peptidase 1) (L56) (Serine protease 11)	HTRA1 HTRA PRSS11	Homo sapiens (Human)	480
TBX4_HUMAN	P57082	TBX4_HUMAN	reviewed	T-box transcription factor TBX4 (T-box protein 4)	TBX4	Homo sapiens (Human)	545
Q5TG45_HUMAN	Q5TG45	Q5TG45_HUMAN		Deleted.			
HEYL_HUMAN,Q5TG99_HUMAN	Q9NQ87	HEYL_HUMAN	reviewed	Hairy/enhancer-of-split related with YRPW motif-like protein (hHeyL) (Class B basic helix-loop-helix protein 33) (bHLHb33) (Hairy-related transcription factor 3) (HRT-3) (hHRT3)	HEYL BHLHB33 HRT3	Homo sapiens (Human)	328
PPIE_HUMAN,Q5TGA3_HUMAN	Q9UNP9	PPIE_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase E (PPIase E) (EC 5.2.1.8) (Cyclophilin E) (Cyclophilin-33) (Rotamase E)	PPIE CYP33	Homo sapiens (Human)	301
Q5THK3_HUMAN	Q5THK3	Q5THK3_HUMAN		Deleted.			
Q5TI65_HUMAN	Q5TI65	Q5TI65_HUMAN	unreviewed	Mitochondrial pyruvate carrier	MPC1 BRP44L hCG_15016	Homo sapiens (Human)	66
Q5TZB9_HUMAN	Q5TZB9	Q5TZB9_HUMAN		Deleted.			
Q541P9_HUMAN,RPIA_HUMAN	P49247	RPIA_HUMAN	reviewed	Ribose-5-phosphate isomerase (EC 5.3.1.6) (Phosphoriboisomerase)	RPIA RPI	Homo sapiens (Human)	311
CD81_HUMAN,Q5U0J6_HUMAN	P60033	CD81_HUMAN	reviewed	CD81 antigen (26 kDa cell surface protein TAPA-1) (Target of the antiproliferative antibody 1) (Tetraspanin-28) (Tspan-28) (CD antigen CD81)	CD81 TAPA1 TSPAN28	Homo sapiens (Human)	236
Q5VT61_HUMAN	Q5VT61	Q5VT61_HUMAN	unreviewed	Tripartite motif-containing 46, isoform CRA_c (Tripartite motif-containing protein 46)	TRIM46 hCG_1997323	Homo sapiens (Human)	644
Q5VTC0_HUMAN	Q5VTC0	Q5VTC0_HUMAN		Deleted.			
MYP0_HUMAN,Q5VTH4_HUMAN	P25189	MYP0_HUMAN	reviewed	Myelin protein P0 (Myelin peripheral protein) (MPP) (Myelin protein zero)	MPZ	Homo sapiens (Human)	248
Q5VU21_HUMAN	Q5VU21	Q5VU21_HUMAN	unreviewed	PAI-1 mRNA-binding protein variant (cDNA, FLJ92551, Homo sapiens PAI-1 mRNA-binding protein (PAI-RBP1), mRNA)		Homo sapiens (Human)	387
ZN451_HUMAN,Q5VVE9_HUMAN	Q9Y4E5	ZN451_HUMAN	reviewed	E3 SUMO-protein ligase ZNF451 (EC 2.3.2.-) (Coactivator for steroid receptors) (E3 SUMO-protein transferase ZNF451) (Zinc finger protein 451)	ZNF451 COASTER KIAA0576 KIAA1702	Homo sapiens (Human)	1061
Q5VVJ3	Q5VVJ3	Q5VVJ3_HUMAN		Deleted.			
Q59FQ0_HUMAN	Q59FQ0	Q59FQ0_HUMAN	unreviewed	Ras-related C3 botulinum toxin substrate 1 isoform Rac1b variant (Fragment)		Homo sapiens (Human)	144
Q5VXK1_HUMAN	Q5VXK1	Q5VXK1_HUMAN		Deleted.			
SET_HUMAN,Q5VXV2_HUMAN	Q01105	SET_HUMAN	reviewed	Protein SET (HLA-DR-associated protein II) (Inhibitor of granzyme A-activated DNase) (IGAAD) (PHAPII) (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I)	SET	Homo sapiens (Human)	290
RIT1_HUMAN,Q5VY89_HUMAN	Q92963	RIT1_HUMAN	reviewed	GTP-binding protein Rit1 (EC 3.6.5.2) (Ras-like protein expressed in many tissues) (Ras-like without CAAX protein 1)	RIT1 RIBB RIT ROC1	Homo sapiens (Human)	219
IFRD1_HUMAN	O00458	IFRD1_HUMAN	reviewed	Interferon-related developmental regulator 1 (Nerve growth factor-inducible protein PC4)	IFRD1	Homo sapiens (Human)	451
Q8NF63_HUMAN	Q8NF63	Q8NF63_HUMAN	unreviewed	FLJ00318 protein (Fragment)	FLJ00318	Homo sapiens (Human)	127
Q9H836_HUMAN	Q9H836	Q9H836_HUMAN	unreviewed	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1		Homo sapiens (Human)	394
Q5VYC3	Q5VYC3	Q5VYC3_HUMAN		Deleted.			
Q5VZ17_HUMAN	Q5VZ17	Q5VZ17_HUMAN		Deleted.			
Q5VZM5	Q5VZM5	Q5VZM5_HUMAN		Deleted.			
PDCD4_HUMAN,Q5VZS6_HUMAN	Q53EL6	PDCD4_HUMAN	reviewed	Programmed cell death protein 4 (Neoplastic transformation inhibitor protein) (Nuclear antigen H731-like) (Protein 197/15a)	PDCD4 H731	Homo sapiens (Human)	469
Q5W0J0_HUMAN	Q5W0J0	Q5W0J0_HUMAN	unreviewed	Ras-related protein Rab-18	RAB18	Homo sapiens (Human)	161
Q5W0K8_HUMAN	Q9NTI5	PDS5B_HUMAN	reviewed	Sister chromatid cohesion protein PDS5 homolog B (Androgen-induced proliferation inhibitor) (Androgen-induced prostate proliferative shutoff-associated protein AS3)	PDS5B APRIN AS3 KIAA0979	Homo sapiens (Human)	1447
WAPL_HUMAN	Q7Z5K2	WAPL_HUMAN	reviewed	Wings apart-like protein homolog (Friend of EBNA2 protein) (WAPL cohesin release factor)	WAPL FOE KIAA0261 WAPAL	Homo sapiens (Human)	1190
Q5W1B6_HUMAN	Q5W1B6	Q5W1B6_HUMAN		Deleted.			
Q5Y7C6_HUMAN	Q5Y7C6	Q5Y7C6_HUMAN	unreviewed	HLA class II histocompatibility antigen DQ alpha chain (MHC class II antigen) (MHC class II protein)	HLA-DQA1	Homo sapiens (Human)	254
Q5ZEZ6_HUMAN	Q5ZEZ6	Q5ZEZ6_HUMAN	unreviewed	Myosin phosphatase-Rho interacting protein (Fragment)	M-RIP	Homo sapiens (Human)	85
KLH20_HUMAN,Q5ZF45_HUMAN	Q9Y2M5	KLH20_HUMAN	reviewed	Kelch-like protein 20 (Kelch-like ECT2-interacting protein) (Kelch-like protein X)	KLHL20 KLEIP KLHLX	Homo sapiens (Human)	609
Q658W2_HUMAN	Q658W2	Q658W2_HUMAN	unreviewed	Non-specific protein-tyrosine kinase (EC 2.7.10.2)	DKFZp666O0110	Homo sapiens (Human)	1074
O00146_HUMAN,Q66K89_HUMAN	Q66K89	E4F1_HUMAN	reviewed	Transcription factor E4F1 (EC 2.3.2.27) (E4F transcription factor 1) (Putative E3 ubiquitin-protein ligase E4F1) (RING-type E3 ubiquitin transferase E4F1) (Transcription factor E4F) (p120E4F) (p50E4F)	E4F1 E4F	Homo sapiens (Human)	784
Q68DZ5_HUMAN	Q68DZ5	Q68DZ5_HUMAN	unreviewed	Beta-arrestin-2 (cDNA FLJ58316, highly similar to Beta-arrestin-2)	ARRB2 DKFZp686L0365	Homo sapiens (Human)	217
Q69YU3_HUMAN	Q69YU3	AN34A_HUMAN	reviewed	Ankyrin repeat domain-containing protein 34A	ANKRD34A ANKRD34	Homo sapiens (Human)	496
IR3IP_HUMAN	Q9Y5U9	IR3IP_HUMAN	reviewed	Immediate early response 3-interacting protein 1	IER3IP1 HSPC039	Homo sapiens (Human)	82
TEX9_HUMAN	Q8N6V9	TEX9_HUMAN	reviewed	Testis-expressed protein 9	TEX9	Homo sapiens (Human)	391
COR2B_HUMAN	Q9UQ03	COR2B_HUMAN	reviewed	Coronin-2B (Coronin-like protein C) (Clipin-C) (Protein FC96)	CORO2B KIAA0925	Homo sapiens (Human)	480
NB5R2_HUMAN,Q6BCY4_HUMAN	Q6BCY4	NB5R2_HUMAN	reviewed	NADH-cytochrome b5 reductase 2 (b5R.2) (EC 1.6.2.2)	CYB5R2	Homo sapiens (Human)	276
Q6DCA5_HUMAN	Q6DCA5	Q6DCA5_HUMAN	unreviewed	CCDC88A protein (Fragment)	CCDC88A	Homo sapiens (Human)	887
HIG1B_HUMAN	Q9P298	HIG1B_HUMAN	reviewed	HIG1 domain family member 1B (Protein CLST 11240)	HIGD1B	Homo sapiens (Human)	99
MYO3A_HUMAN	Q8NEV4	MYO3A_HUMAN	reviewed	Myosin-IIIa (EC 2.7.11.1)	MYO3A	Homo sapiens (Human)	1616
RL7A_HUMAN	P62424	RL7A_HUMAN	reviewed	60S ribosomal protein L7a (Large ribosomal subunit protein eL8) (PLA-X polypeptide) (Surfeit locus protein 3)	RPL7A SURF-3 SURF3	Homo sapiens (Human)	266
ZN410_HUMAN	Q86VK4	ZN410_HUMAN	reviewed	Zinc finger protein 410 (Another partner for ARF 1) (Zinc finger protein APA-1)	ZNF410 APA1	Homo sapiens (Human)	478
KCRB_HUMAN,Q6FG40_HUMAN	P12277	KCRB_HUMAN	reviewed	Creatine kinase B-type (EC 2.7.3.2) (Brain creatine kinase) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase B-type) (CPK-B)	CKB CKBB	Homo sapiens (Human)	381
Q6FI91_HUMAN	Q6FI91	Q6FI91_HUMAN	unreviewed	TSPYL protein	TSPYL	Homo sapiens (Human)	438
RT32_HUMAN,Q6FID1_HUMAN	Q9Y6G3	RM42_HUMAN	reviewed	39S ribosomal protein L42, mitochondrial (L42mt) (MRP-L42) (39S ribosomal protein L31, mitochondrial) (L31mt) (MRP-L31) (Mitochondrial large ribosomal subunit protein mL42)	MRPL42 MRPL31 MRPS32 RPML31 HSPC204 PTD007	Homo sapiens (Human)	142
Q6FII1_HUMAN	Q6FII1	Q6FII1_HUMAN	unreviewed	Glutathione S-transferase kappa (EC 2.5.1.18)	LOC51064 GSTK1 hCG_20682 tcag7.883	Homo sapiens (Human)	226
Q9NWB7_HUMAN,Q96DA9_HUMAN	Q9NWB7	IFT57_HUMAN	reviewed	Intraflagellar transport protein 57 homolog (Dermal papilla-derived protein 8) (Estrogen-related receptor beta-like protein 1) (HIP1-interacting protein) (MHS4R2)	IFT57 DERP8 ESRRBL1 HIPPI	Homo sapiens (Human)	429
Q6GMX4_HUMAN	Q6GMX4	Q6GMX4_HUMAN	unreviewed	IGL@ protein	IGL@	Homo sapiens (Human)	236
NUP62_HUMAN,Q6GTM2_HUMAN	P37198	NUP62_HUMAN	reviewed	Nuclear pore glycoprotein p62 (62 kDa nucleoporin) (Nucleoporin Nup62)	NUP62	Homo sapiens (Human)	522
ASF1A_HUMAN,Q6IA08_HUMAN	Q9Y294	ASF1A_HUMAN	reviewed	Histone chaperone ASF1A (Anti-silencing function protein 1 homolog A) (hAsf1) (hAsf1a) (CCG1-interacting factor A) (CIA) (hCIA)	ASF1A CGI-98 HSPC146	Homo sapiens (Human)	204
Q6IA98_HUMAN	Q6IA98	Q6IA98_HUMAN	unreviewed	RNPC4 protein	RNPC4	Homo sapiens (Human)	423
Q6IAL2_HUMAN	Q6IAL2	Q6IAL2_HUMAN	unreviewed	HMP19 protein	HMP19	Homo sapiens (Human)	171
Q6IAM7_HUMAN	Q6IAM7	Q6IAM7_HUMAN	unreviewed	Signal peptidase complex catalytic subunit SEC11 (EC 3.4.21.89)	SPC18	Homo sapiens (Human)	179
Q6IAV4_HUMAN	Q6IAV4	Q6IAV4_HUMAN	unreviewed	Cyclin-dependent kinase 2-associated protein	DOC-1R CDK2AP2 hCG_21052	Homo sapiens (Human)	126
MGLL_HUMAN,Q6IBG9_HUMAN	Q99685	MGLL_HUMAN	reviewed	Monoglyceride lipase (MGL) (EC 3.1.1.23) (HU-K5) (Lysophospholipase homolog) (Lysophospholipase-like) (Monoacylglycerol lipase) (MAGL)	MGLL	Homo sapiens (Human)	303
Q6IBJ7_HUMAN	Q6IBJ7	Q6IBJ7_HUMAN	unreviewed	Protein RER1	RER1	Homo sapiens (Human)	196
HNRH1_HUMAN,Q6IBM4_HUMAN	P31943	HNRH1_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein H (hnRNP H) [Cleaved into: Heterogeneous nuclear ribonucleoprotein H, N-terminally processed]	HNRNPH1 HNRPH HNRPH1	Homo sapiens (Human)	449
GDIR_HUMAN,Q6IBM5_HUMAN	P52565	GDIR1_HUMAN	reviewed	Rho GDP-dissociation inhibitor 1 (Rho GDI 1) (Rho-GDI alpha)	ARHGDIA GDIA1	Homo sapiens (Human)	204
PCGF1_HUMAN,Q9BSM1_HUMAN	Q9BSM1	PCGF1_HUMAN	reviewed	Polycomb group RING finger protein 1 (Nervous system Polycomb-1) (NSPc1) (RING finger protein 68)	PCGF1 NSPC1 RNF68	Homo sapiens (Human)	259
Q9H166_HUMAN	Q8N7H5	PAF1_HUMAN	reviewed	RNA polymerase II-associated factor 1 homolog (hPAF1) (Pancreatic differentiation protein 2)	PAF1 PD2	Homo sapiens (Human)	531
Q6ICP4_HUMAN	Q6ICP4	Q6ICP4_HUMAN	unreviewed	ARHH protein (Ras homolog gene family, member H, isoform CRA_a) (cDNA, FLJ94345, Homo sapiens ras homolog gene family, member H (ARHH), mRNA) (Fragment)	ARHH RHOH hCG_37394	Homo sapiens (Human)	191
PDZ1I_HUMAN,Q6ICT9_HUMAN	Q13113	PDZ1I_HUMAN	reviewed	PDZK1-interacting protein 1 (17 kDa membrane-associated protein) (Protein DD96)	PDZK1IP1 MAP17	Homo sapiens (Human)	114
Q6LET9_HUMAN	Q6LET9	Q6LET9_HUMAN	unreviewed	LAMA4 protein (Laminin subunit alpha-4) (Laminin, alpha 4, isoform CRA_a) (Fragment)	LAMA4 hCG_32955	Homo sapiens (Human)	129
Q6NSY2_HUMAN	Q6NSY2	Q6NSY2_HUMAN	unreviewed	Killer cell lectin-like receptor subfamily A, member 1	KLRA1	Homo sapiens (Human)	215
WDR33_HUMAN,Q6NUQ0_HUMAN	Q9C0J8	WDR33_HUMAN	reviewed	pre-mRNA 3' end processing protein WDR33 (WD repeat-containing protein 33) (WD repeat-containing protein of 146 kDa)	WDR33 WDC146	Homo sapiens (Human)	1336
KPRB_HUMAN	O60256	KPRB_HUMAN	reviewed	Phosphoribosyl pyrophosphate synthase-associated protein 2 (PRPP synthase-associated protein 2) (41 kDa phosphoribosypyrophosphate synthetase-associated protein) (PAP41)	PRPSAP2	Homo sapiens (Human)	369
DYN1_HUMAN,Q6P3T6_HUMAN	Q05193	DYN1_HUMAN	reviewed	Dynamin-1 (EC 3.6.5.5)	DNM1 DNM	Homo sapiens (Human)	864
Q6P4A2_HUMAN	Q6P4A2	Q6P4A2_HUMAN	unreviewed	SRCAP protein (Fragment)	SRCAP	Homo sapiens (Human)	584
ATG9A_HUMAN	Q7Z3C6	ATG9A_HUMAN	reviewed	Autophagy-related protein 9A (APG9-like 1) (mATG9)	ATG9A APG9L1	Homo sapiens (Human)	839
Q6PF11_HUMAN	Q6PF11	Q6PF11_HUMAN	unreviewed	Chorionic somatomammotropin hormone 1 (Placental lactogen)	CSH1	Homo sapiens (Human)	217
Q6PJ22_HUMAN	Q6PJ22	Q6PJ22_HUMAN	unreviewed	NAD(+) kinase (EC 2.7.1.23) (Fragment)	FLJ13052	Homo sapiens (Human)	217
Q6PKC6_HUMAN	Q6PKC6	Q6PKC6_HUMAN	unreviewed	WD repeat-containing protein 6 (WDR6 protein)	WDR6	Homo sapiens (Human)	289
MED25_HUMAN,Q6QMH5_HUMAN	Q71SY5	MED25_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 25 (Activator interaction domain-containing protein 1) (Activator-recruited cofactor 92 kDa component) (ARC92) (Mediator complex subunit 25) (p78)	MED25 ACID1 ARC92 PTOV2 TCBAP0758	Homo sapiens (Human)	747
Q6UUV7_HUMAN	Q6UUV7	CRTC3_HUMAN	reviewed	CREB-regulated transcription coactivator 3 (Transducer of regulated cAMP response element-binding protein 3) (TORC-3) (Transducer of CREB protein 3)	CRTC3 TORC3	Homo sapiens (Human)	619
QSK_HUMAN	Q9Y2K2	SIK3_HUMAN	reviewed	Serine/threonine-protein kinase SIK3 (EC 2.7.11.1) (Salt-inducible kinase 3) (SIK-3) (Serine/threonine-protein kinase QSK)	SIK3 KIAA0999 QSK L19	Homo sapiens (Human)	1321
LMNA_HUMAN,Q6UYC3_HUMAN	P02545	LMNA_HUMAN	reviewed	Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)]	LMNA LMN1	Homo sapiens (Human)	664
Q6V704_HUMAN	Q96C92	ENTR1_HUMAN	reviewed	Endosome-associated-trafficking regulator 1 (Antigen NY-CO-3) (Serologically defined colon cancer antigen 3)	ENTR1 SDCCAG3	Homo sapiens (Human)	435
